,id,tempo,key,loudness,danceability,speechiness,acousticness,instumentalness,liveness
0,0EYOdF5FCkgOJJla8DI2Md,101.423,1,-2.688,0.556,0.128,0.00662,0,0.218
1,40riOy7x9W7GXjyGp4pjAv,147.125,2,-9.484,0.579,0.027,0.00574,0.000494,0.0575
2,0QeI79sp1vS8L3JgpEO7mD,195.815,11,-6.399,0.309,0.125,0.0192,0.0022,0.106
3,5dhQCqONiQji7k4RkhIcjq,109.997,11,-6.366,0.653,0.0341,0.00132,6.98e-06,0.0835
4,4eLn7z31zqzEdlKSgesohf,176.167,11,-5.927,0.716,0.0431,0.254,3.48e-05,0.0959
5,3yrSvpt2l1xhsV9Em88Pul,150.572,7,-10.964,0.491,0.0376,0.182,0,0.407
6,4x3SQvTgvqSTU3nOL1urZh,82.95,4,-4.67,0.473,0.0293,0.0134,0,0.16
7,0eKyHwckh9vQb8ncZ2DXCs,138.946,0,-8.476,0.42,0.033,0.0038,0.000787,0.118
8,69pwmeyvQMuHMtkCmpEWhQ,102.041,6,-11.645,0.168,0.0344,0.315,0.79,0.11
9,5rpRzNcJZqKQXk9PIjreB6,91.469,9,-8.344,0.545,0.0288,0.713,0.000389,0.112
